Game Name,User Rating
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,77.713
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,40.471
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,36.749
Tales of Monkey Island Complete Pack: Chapter 5 - Rise of the Pirate God,40.668
Sam & Max 301: The Penal Zone,44.411
Sam & Max 302: The Tomb of Sammun-Mak,73.908
Sam & Max 303: They Stole Max's Brain!,30
Sam & Max 304: Beyond the Alley of the Dolls,27.436
Sam & Max 305: The City That Dares Not Sleep,23.625
Puzzle Agent,31.72
Poker Night at the Inventory,80
Back to the Future: The Game,80
Tunnel Rats,79.999
COIL,7.414
Iron Grip: Warlord,44.054
Iron Grip Warlord Demo,70.635
Nancy Drew®: Danger by Design,0
Nancy Drew®: Last Train to Blue Moon Canyon,41.447
Nancy Drew®: The Haunted Carousel,64.789
Nancy Drew®: Curse of Blackmoor Manor,51.296
Nancy Drew®: Danger on Deception Island,66.776
Nancy Drew®: Ghost Dogs of Moon Lake,55.904
Nancy Drew®: Legend of the Crystal Skull,54.157
"Nancy Drew® Dossier: Lights, Camera, Curses!",48.906
Nancy Drew®: Secret of the Old Clock,18.556
Nancy Drew®: Secret of the Scarlet Hand,51.724
Nancy Drew®: The Creature of Kapu Cave,46.316
Nancy Drew®: The Haunting of Castle Malloy,31.373
Nancy Drew®: The Phantom of Venice,47.148
Nancy Drew®: The White Wolf of Icicle Creek,46.484
Nancy Drew®: Legend of the Crystal Skull Demo,38.472
Nancy Drew®: The Creature of Kapu Cave Demo,0
Nancy Drew®: The Phantom of Venice Demo,0
Nancy Drew®: The White Wolf of Icicle Creek Demo,0
Nancy Drew®: Ransom of the Seven Ships Demo,0
Raycatcher,0
Raycatcher Demo,2.168
LUXOR: Mah Jong,0
LUXOR: Mah Jong Demo,26.74
Chainz 2: Relinked,0
Chainz 2 Demo,16.817
Midnight Mysteries,0
Everyday Genius: SquareLogic,28.522
Zombie Bowl-o-Rama,70.203
Zombie Bowl-o-Rama Demo,70.154
Metal Drift,0
Metal Drift Demo,24.921
Indiana Jones® and the Last Crusade™,0
LEGO® Indiana Jones™: The Original Adventures,48.185
LOOM™,80
STAR WARS™ Starfighter™,76.096
The Secret of Monkey Island: Special Edition,48.137
STAR WARS™ Knights of the Old Republic™,90
STAR WARS™ Jedi Knight: Dark Forces II,80
STAR WARS™ Jedi Knight - Mysteries of the Sith™,59.997
"STAR WARS™ Dark Forces (Classic, 1995)",49.57
Lucidity™,80
STAR WARS™: The Clone Wars - Republic Heroes™,13.511
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,49.442
LEGO® Star Wars™ - The Complete Saga,60
LEGO® Indiana Jones™ 2: The Adventure Continues,90
STAR WARS™ Empire at War - Gold Pack,79.976
STAR WARS™: The Force Unleashed™ II,90
LEGO® Star Wars™ III - The Clone Wars™,50
Delta Force Xtreme 2,80
Delta Force 1,34.94
Delta Force 2,76.154
Delta Force Land Warrior,72.446
Delta Force: Task Force Dagger,65.312
Delta Force: Xtreme,34.863
Delta Force — Black Hawk Down: Team Sabre,34.61
Armored Fist 3,74.117
F-16 Multirole Fighter,19.173
F-22 Lightning 3,37.817
MiG-29 Fulcrum,29.261
Comanche 4,30.249
Tachyon: The Fringe,60.074
Joint Operations: Combined Arms Gold,52.968
Restaurant Empire II,61.046
Alien Shooter,49.831
Alien Shooter: Revisited,90
Alien Shooter 2: Reloaded,48.806
Zombie Shooter,80
Alien Shooter Demo ,79.744
Alien Shooter: Revisited Demo,0
Alien Shooter 2: Reloaded Demo ,0
Zombie Shooter Demo ,0
Zombie Shooter 2,0
Zombie Shooter 2 Demo,58.845
Tom Clancy's Splinter Cell Conviction™,0
Assassin's Creed 2,60
Call of Juarez: Bound in Blood Demo,80
Prince of Persia: The Forgotten Sands™,0
Zeit²,49.999
Zeit² Demo,12.402
From Dust,0
Tropico Reloaded,50
Dawn of Magic 2,78.881
Tropico 3 Demo,20.717
Patrician III,0
The Great Art Race,78.967
Broken Sword 2 - the Smoking Mirror: Remastered,33.309
